NAPP-title,NAPP-code (OCCHISCO),HISCO-code,HISCO-nr,check_with_native_speaker,comments
"Typists, stenographers and secretaries",32000,3-21.90,32190,,
Bookkeepers and bookkeeping clerks,33120,3-31.10,33110,,
"Cashiers, bank or office",33130,3-31.35,33135,,
Bank clerks,33140,3-39.40,33940,,
Bank tellers (US),33142,3-31.40,33140,,
Cash desk cashier,33160,3-31.60,33160,,
Toll collectors,33170,3-10.40,31040,,
Collector (cash or account),33180,3-39.90,33990,,
"Bookkeeping, account and cash handling workers nec",33190,3-39.90,33990,,
Railway clerks (UK) and railway agents (CA/US),33210,4-42.20,44220,,
Office machine operators,34000,3-99.50,39950,,
"Conductors, nfs",36010,3-60.00,36000,,
Railway guards (UK) and Railroad Conductors (US/CAN),36020,3-60.20,36020,,
Sleeping- or pullman-car attendants,36030,3-60.30,36030,,
"Bus, tram or streetcar conductors",36040,3-60.40,36040,,
"Transport conductors, nec",36090,3-60.90,36090,,
"Postal, mail and telegraph clerks",37020,3-70.00,37000,,
Mail carriers [aka Postmen (UK)],37030,3-70.30,37030,,
Messengers,37040,3-70.40,37040,,
Mail sorters,37050,3-70.20,37020,,
"Post office, mail, and message workers nec",37090,3-70.00,37000,,
Tel. operator,38010,3-80.20,38020,,
Telephone operator,38020,3-80.20,38020,,
Telegraph operator,38030,3-80.00,38000,,
Other telephone/telegraph operators,38090,3-80.90,38090,,
"Clerk, nfs",39000,3-00.00,30000,,
"Stock, weight and shipping clerks",39100,3-91.30,39130,,
"Office clerks, specialisation unknown",39310,3-93.10,39310,,
Correspondence clerks,39320,3-93.20,39320,,
Legal clerks,39340,3-93.40,39340,,
Insurance clerks,39350,3-93.50,39350,,
Other correspondence and reporting clerks,39390,3-93.90,39390,,
Hotel clerk or other receptionist,39400,3-94.20,39420,,
Library and filing clerks,39500,3-95.20,39520,,
"Railroad, railway clerk",39600,3-99.60,39960,,"diff NAPP codes for same occ titles: 39600 (railroad, railway clerk) and 33210(railway clerks (UK) and railway agents (CA/US). Used ""agents"" to recode the latter."
"Timekeepers, railway",39720,3-39.90,33990,,
"Timekeepers, factory",39730,3-39.90,33990,,
"Timekeepers, undefined and nec",39790,3-39.90,33990,,
Other specified clerks,39900,3-99.90,39990,,
Proofreader (U.S. only),39990,3-99.40,39940,,
"Dealer, merchant etc. (Wholesale and retail trade)",41010,4-10.25,41025,,
"Merchants, specified large-scale wholesaleing",41015,4-10.25,41025,,
Hirers out,41020,4-10.40,41040,,
Buyers,42000,4-22.20,42220,,
Agents nfs,43010,4-32.00,43200,,
Commercial travellers,43020,4-32.20,43220,,
Manufacturer's and sales agents,43030,4-32.00,43200,,
"Insurance, real state or securities salesmen, nfs",44110,4-41.00,44100,,
Insurance salesmen and agents,44120,4-41.20,44120,,
Real estate agents,44130,4-41.30,44130,,
Brokers,44140,4-41.40,44140,,
Stockbrokers,44150,4-41.40,44140,,
"Insurance, real estate and securities salesmen nec",44190,4-41.00,44100,,
Advertising salesmen,44200,4-42.30,44230,,
Auctioneers,44320,4-43.20,44320,,
Appraisers,44330,4-43.30,44330,,
"Salespeople, wholesale or retail trade",45120,4-51.25,45125,,
Fashion models,45140,4-51.40,45140,,
"Other sales personnel men, shop assistants and demonstrators",45190,4-51.90,45190,,
"Street sellers, pedlars and hawkers, non-food items",45220,4-52.20,45220,,
"Street sellers, pedlars and hawkers, food items",45230,4-52.20,45220,,
Newsvendors,45240,4-52.40,45240,,
Canvassers,45250,4-52.30,45230,,
Other street traders [for coffee and food?],45290,4-52.90,45290,,
Pawnbrokers,49020,4-90.20,49020,,
"Scrap and junk dealers, scavengers",49030,4-10.25,41025,,
Dealers and salesworkers nec,49090,4-90.90,49090,,
Hotel keepers and managers,51020,5-10.20,51020,,
Restaurant keepers and managers,51030,5-10.30,51030,,
"Pub, saloon, tavern and coffee house keepers",51050,5-10.00,51000,,
Ship's pursers,51060,2-14.40,21440,,
Other hospitality and entertainment keepers and managers,51090,5-10.90,51090,,
Housekeeper,52020,2-24.20,22420,,
Stewards,52030,5-20.40,52040,,
Matrons,52040,2-24.60,22460,,
Butlers,52050,2-24.90,22490,,
Other housekeeping service supervisors,52090,2-24.90,22490,,
Cooks,53100,5-31.00,53100,,
Cook (Domestic) [UK only],53101,5-31.40,53140,,
Cook (Not domestic) [UK only],53102,5-31.30,53130,,
Ship's cooks [UK only],53103,5-31.50,53150,,
Waiter or waitress,53220,5-32.10,53210,,
Bartender,53230,5-32.50,53250,,
Other food and drink service workers,53290,5-32.90,53290,,
Servants nfs,54010,5-40.90,54090,,
House servants nfs and maids,54020,5-40.20,54020,,
Personal servants and valets,54030,5-40.30,54030,,
Nursemaids,54040,5-40.35,54035,,
Companions,54050,5-40.40,54040,,
Chambermaids and room attendants,54060,5-40.50,54050,,
Other specified servants,54090,5-40.90,54090,,
Caretakers and janitors,55100,5-51.30,55130,,
Charworkers,55200,5-52.20,55220,,
Window cleaners,55230,5-52.30,55230,,
Chimney sweeps,55240,5-52.40,55240,,
Refuse collectors and removers,55250,9-99.10,99910,,
"Other charworkers, cleaners and related workers",55290,5-52.90,55290,,
Washing and laundry services,56000,5-60.90,56090,,
Hairdressers,57020,5-70.25,57025,,
Barbers,57030,5-70.30,57030,,
Bath attendants,57040,5-70.70,57070,,
"Other barbers, hairdressers and related workers",57090,5-70.90,57090,,
Firefighters,58100,5-81.10,58110,,
"Policemen and detectives, employer unknown",58210,5-82.20,58220,,
"Policemen and detectives, public service",58220,5-82.20,58220,,
"Policemen and detectives, private service",58230,5-82.40,58240,,
Sheriffs and their deputies,58240,5-82.20,58220,,
Other law enforcement officers,58290,5-82.20,58220,,
Watchmen and guards,58300,5-89.40,58940,,
"Military, rank unknown",58410,5-83.00,58300,,
Military officers,58420,5-83.20,58320,,
Other members of the armed forces,58430,5-83.40,58340,,
Prison keepers and guards,58500,5-89.30,58930,,
Other protective service workers,58900,5-89.90,58990,,
Guides,59100,5-91.00,59100,,
Undertakers and embalmers,59200,5-92.20,59220,,
Prostitutes,59300,5-99.80,59980,,
Bookmakers (sport),59920,5-99.20,59920,,
Croupiers,59930,5-99.30,59930,,
Nursing aids and attendents,59940,5-99.40,59940,,
Other Service Workers nec,59990,5-99.90,59990,,
General farmers and farmers nfs,61110,6-11.10,61110,,
Husbandmen or cottars,61115,6-11.15,61115,,
Female farmer,61117,6-11.10,61110,,
Field crop farmers,61220,6-12.20,61220,,
Orchardists and fruit farmers,61230,6-12.90,61290,,
Market gardeners,61240,6-12.70,61270,,
Nurserymen and florists,61250,6-12.70,61270,,
Livestock farmers,61260,6-12.40,61240,,
Dairy farmers,61270,6-12.50,61250,,
Poultry farmers,61280,6-12.60,61260,,
Other specialised farmers,61290,6-12.90,61290,,
Farmer and Fisherman,61320,6-11.10,61110,,
"Farm managers, formen and supervisors nfs",61400,2-12.30,21230,,
"Farm workers, specialisation unknown",62110,6-21.05,62105,,
Farmer's sons and other male relatives,62113,6-21.10,62110,,
Farm workers (field crop and vegetables),62200,6-22.10,62210,,
Farm labourers: orchard and fruit farm workers,62300,6-23.20,62320,,
"Livestock workers, general or nfs",62410,6-24.00,62400,,
"Cattle workers, except specified dairy",62420,6-24.10,62410,,
Sheep workers,62430,6-24.30,62430,,
Pig workers,62440,6-24.40,62440,,
Fur-bearing animal workers,62450,6-24.50,62450,,
Horse workers,62460,6-24.60,62460,,
Grooms and horse keepers (Domestic),62461,6-24.90,62490,,
Grooms and horse keepers (Not domestic),62463,6-24.60,62460,,
Horse breaker,62470,6-24.60,62460,,
"Livestock workers, nec",62490,6-24.00,62400,,
Farm workers (dairy),62500,6-25.10,62510,,
Farm workers (poultry),62600,6-26.10,62610,,
Gardeners nfs,62710,6-27.00,62700,,
Gardener (Domestic),62711,6-27.40,62740,,
Gardener (Not domestic),62713,6-27.40,62740,,
Market garden labourers,62720,6-27.20,62720,,
Nursery labourers,62730,6-27.30,62730,,
Landscape gardeners,62740,6-27.00,62700,,
Other nursery workers and gardeners,62790,6-27.90,62790,,
Farm machinery operators,62800,6-28.20,62820,,
"Other animal workers [e.g., dogs, elephants]",62920,6-29.90,62990,,
"Other plant workers [e.g., gathers of herbs etc.]",62930,6-29.90,62990,,
"Groundskeepers, etc.",62940,6-29.60,62960,,
Others in agricultural or husbandry,62990,6-29.90,62990,,
"Woodsmen and workers in the woods, nfs",63110,6-31.10,63110,,
"Lumbermen, loggers and kindred workers",63120,6-31.90,63190,,
River drivers,63130,6-31.40,63140,,
Wood cutters and choppers,63140,6-31.90,63190,,
Others in logging and wood cutting,63190,6-31.90,63190,,
Foresters and wood wardens,63220,6-32.20,63220,,
Forestry workers,63230,6-32.30,63230,,
Timber cruisers,63240,6-32.40,63240,,
Forest fire-fighters,63250,6-32.50,63250,,
Other forestry workers,63290,6-32.90,63290,,
Fishermen,64100,6-41.00,64100,,
Fish farm workers,64920,6-49.20,64920,,
Oyster farm workers,64930,6-49.30,64930,,
Whale hunters,64940,6-49.40,64940,,
Whale or seal hunters,64950,6-49.45,64945,,
Seal hunters,64960,6-49.50,64950,,
Trappers or hunters,64970,6-49.60,64960,,
"Other fishermen, hunters and related workers",64990,6-49.90,64990,,
Miners,71120,7-11.05,71105,,
Quarrymen,71130,7-11.10,71110,,
Others working in mines and quarries,71190,7-11.90,71190,,
Mineral or stone treaters,71200,7-12.00,71200,,
"Well drillers, borers and related workers",71300,7-13.00,71300,,
"Metal workers, specialisation unknown",72000,7-20.00,72000,,
Metal smelter and furnacemen,72100,7-21.00,72100,,
Metal rollers,72200,7-22.00,72200,,
"Metal melters and reheaters, and workers in metal melting mills",72300,7-23.90,72390,,
Metal casters and workers in metal casting plants,72400,7-24.90,72490,,
Metal moulders and coremakers,72500,7-25.00,72500,,
"Metal annealers, temperers and hardeners",72600,7-26.90,72690,,
Metal drawers and workers in metal drawing,72700,7-27.25,72725,,
Metal platers and coaters,72800,7-28.90,72890,,
Other (specialised) metal workers,72900,7-29.90,72990,,
Wood treaters,73100,7-31.00,73100,,
Sawyers and other titled wood/sawmill operatives,73200,7-32.00,73200,,
Papermill machine operators and paper makers,73300,7-34.00,73400,,
"Chemical workers, product nfs",74000,7-49.90,74990,,
Drug workers,74100,7-49.90,74990,,
Gunpowder and explosive makers,74200,7-49.90,74990,,
Charcoal burners,74320,7-49.30,74930,,
Coal gas makers,74330,7-49.25,74925,,
Tar makers,74340,7-45.90,74590,,
"Other coal product makers [e.g., coke]",74390,7-49.90,74990,,
Salt makers,74420,7-44.70,74470,,
Alkali and soda makers,74430,7-78.90,77890,,
Oil mill workers,74500,7-45.00,74500,,
Paint and varnish makers,74620,7-41.00,74100,,
Dye makers,74630,7-41.40,74140,,
"Ink, blacking, colouring, etc., makers",74640,7-45.90,74590,,
"Tallow chandlers, candle makers and grease makers",74720,4-10.25,41025,,
Soap and perfume makers,74730,7-44.90,74490,,
"Glue, size and gelatin[e] makers",74740,7-49.90,74990,,
Wax and polish makers,74750,7-45.90,74590,,
Fertilizer and manure makers,74920,7-49.90,74990,,
Starch makers,74930,5-60.90,56090,,
Turpentine makers,74940,7-49.90,74990,,
Specified chemical workers nec,74990,7-49.90,74990,,
"Textile workers, specialisation unknown",75000,7-50.00,75000,,
Fibre preparers,75100,7-51.00,75100,,
"Spinners, doublers, twisters and winders",75200,7-52.00,75200,,
Weaving and knitting-machine setters and pattern-card preparers,75300,7-53.90,75390,,
Weavers,75400,7-54.00,75400,,
Knitters,75500,7-55.00,75500,,
"Bleachers, dyer or textile product finisher",75600,7-56.00,75600,,
Rope makers,75700,7-57.10,75710,,
Net maker,75920,7-59.40,75940,,
Other specialised textile workers nec,75990,7-59.90,75990,,
"Tanners or fellmongers, specialisation unknown",76110,7-61.00,76100,,
Fellmongers,76120,7-61.25,76125,,
Tanners,76130,7-61.45,76145,,
Leather curriers and finishers,76140,7-61.50,76150,,
Other specified leather curers,76190,7-61.90,76190,,
Fur and pelt dressers,76200,7-92.00,79200,,
Millers and related workers,77100,7-93.90,79390,,
Sugar refiners,77200,7-72.00,77200,,
Butchers,77310,7-73.10,77310,,
Pork butchers,77320,7-73.90,77390,,
"Slaughterer, meat cutters or meat packer",77340,7-73.20,77320,,
Sausage makers,77350,7-73.40,77340,,
Fish butchers,77360,7-79.40,77940,,
Meat cannery workers and other meat preservers (not sausages),77380,7-74.60,77460,,
Other workers in meat preparation,77390,7-73.90,77390,,
Cannery workers and other food preservers,77400,7-74.90,77490,,
"Butter, cheese and dairy product makers",77500,7-75.10,77510,,
Baker and confectioner,77610,7-76.90,77690,,
Bakers,77620,7-76.10,77610,,
Confectioners and pastry makers,77630,7-76.60,77660,,
Candy makers,77640,7-72.00,77200,,
Chocolate makers,77650,7-76.50,77650,,
Other baked goods makers,77690,7-76.90,77690,,
"Tea, coffee and cocoa preparers",77700,7-77.90,77790,,
Brewers,77820,7-78.10,77810,,
Maltsters,77830,7-78.30,77830,,
Wine workers,77840,7-78.50,77850,,
Vinegar makers and workers,77850,7-78.70,77870,,
Distillers,77860,7-44.00,74400,,
Makers of soft drinks,77870,7-78.90,77890,,
Bottlers,77880,7-78.90,77890,,
Other drinks makers and workers,77890,7-78.90,77890,,
Other food and beverage processors,77990,7-79.90,77990,,
Tobacco preparers and tobacco factory workers,78100,7-81.00,78100,,
Cigar makers,78200,7-82.00,78200,,
Cigarette makers,78300,7-83.90,78390,,
Other tobacco product makers,78400,7-89.90,78990,,
Tailors and tailoresses,79120,7-91.00,79100,,
Dressmakers,79130,7-91.40,79140,,
Other garment makers,79190,7-91.90,79190,,
Furriers and fur workers,79200,7-99.20,79920,,
Milliners,79320,7-93.20,79320,,
Hat makers,79330,7-93.10,79310,,
Straw hat makers,79340,7-93.10,79310,,
Other hat makers,79390,7-39.90,73990,,
Glove makers and related workers,79400,7-94.75,79475,,
Seamstresses,79520,7-95.10,79510,,
Sewers and sewing machine operators,79530,7-95.50,79550,,
Embroiderers,79540,7-95.65,79565,,
Others hand sewers,79590,7-95.90,79590,,
Upholsterers (except vehicle),79620,7-96.20,79620,,
Vehicle trimmers and upholsterers,79630,7-96.30,79630,,
Mattress makers,79640,7-96.40,79640,,
Others working in upholstery jobs,79690,7-96.90,79690,,
"Sail, tent and awning makers",79920,7-99.20,79920,,
Umbrella makers,79930,7-99.30,79930,,
Artificial flower makers,79940,7-95.90,79590,,
Other cloth and related product manufacturing workers,79990,7-99.90,79990,,
Boot and shoe makers and repairers,80100,8-01.10,80110,,
Specialised occupations in the boot and shoe making industry,80200,8-02.00,80200,,
Saddlers and harness makers,80320,8-03.20,80320,,
Trunk or bag maker,80330,7-96.90,79690,,
Other leather goods makers,80390,8-03.90,80390,,
Cabinet makers,81120,8-11.20,81120,,
Chair makers,81130,8-11.20,81120,,
Wicker furniture makers,81140,9-42.50,94250,,
Other furniture makers,81190,8-11.90,81190,,
Woodworkers,81210,8-10.00,81000,,
"Sawyers, woodworking",81220,7-32.10,73210,,
Wood turners and handle makers,81230,8-12.30,81230,,
Wood planers,81240,8-12.75,81275,,
Wood carvers,81250,8-19.45,81945,,
Other woodworking machine operators,81290,8-12.90,81290,,
"Coach, carriage and wagon makers",81300,8-19.90,81990,,
Wheelwrights [and cartwrights],81400,8-19.25,81925,,
"Coopers, hoop makers and benders",81500,8-19.30,81930,,
Clog makers,81600,8-19.90,81990,,
Box makers nfs,81710,9-10.25,91025,,
Wooden box makers,81720,8-11.90,81190,,
Paper box makers,81730,9-10.25,91025,,
Box makers nec,81790,9-10.90,91090,,
Wooden tool makers,81920,8-19.90,81990,,
Ski makers,81930,8-19.90,81990,,* amazing: it is actually mentioned in the HISCO description
Other makers of wooden products,81990,8-19.90,81990,,
Stone carvers or cutters and stone yard workers,82000,8-20.90,82090,,
Blacksmiths,83120,8-31.10,83110,,
Hammersmiths,83130,8-31.20,83120,,
Foregemen,83140,8-31.10,83110,,
Farriers or horseshoers,83150,8-31.10,83110,,
Specialised makers of forged metal products,83160,8-31.90,83190,,
"Other blacksmiths, hammermen and forgeing-press operators",83190,8-31.90,83190,,
Tool makers nfs,83210,8-32.10,83210,,
Tool and die makers,83220,8-32.20,83220,,
Pattern makers nfs and nec,83230,8-32.10,83210,,
Other tool makers and metal markers,83290,8-32.90,83290,,
Metalworking machine operators,83310,8-33.10,83310,,
Metal Turners,83320,8-33.20,83320,,
Other metal working machine operators,83390,8-30.00,83000,,
Machinists,83400,8-34.10,83410,,
Metal polishers and finishers,83520,8-35.20,83520,,
Metal grinders and sharpeners,83530,8-35.90,83590,,
Cutlers and cutting instrument makers,83540,8-39.90,83990,,
"Cutler (knives, forks, spoon)",83550,8-39.15,83915,,
"Other metal grinders, polishers and tool sharpeners nec",83590,8-35.90,83590,,
Gunsmiths,83600,8-39.20,83920,,
Locksmiths,83700,8-39.30,83930,,
Saw makers,83820,8-35.50,83550,,
"Saw, spade, shovel and half wood/half metal agricultural instrument type things",83830,8-39.90,83990,,
Chain makers,83840,8-31.90,83190,,
Nailer and nail makers,83850,8-39.90,83990,,
Wire makers,83860,7-27.25,72725,,
Other metal workers nec,83890,7-20.00,72000,,
Mechanics,84110,8-41.00,84100,,
Millwrights,84120,8-41.75,84175,,
"Machine makers, builders and fitters",84130,8-41.75,84175,,
Engine and locomotive builders,84140,8-41.00,84100,,
Sewing machine makers and builders,84150,8-41.50,84150,,
Other machinery fitters and machine assemblers,84190,8-41.90,84190,,
Watch and clock makers,84220,8-42.20,84220,,
Optical instrument makers and workers (not opticians),84230,8-42.35,84235,,
Other specialized instrument makers (not musical instrument makers),84290,8-42.90,84290,,
Bicycle makers,84300,8-49.75,84975,,
Others in machinery,84900,8-49.90,84990,,
Electrical fitters and electrical equipment assemblers,85100,8-51.10,85110,,
Electricians and wiremen,85500,8-55.10,85510,,
Telephone and telegraph installers,85600,8-56.00,85600,,
